Asset_Symbol,Score,Category
05M.F,0.952,SSS Tier
2M7C.F,0.916,SSS Tier
3IB.F,0.784,D Tier
3R2.F,0.764,D Tier
4B5.F,0.752,D Tier
5JB.F,0.804,D Tier
5JB1.F,0.804,D Tier
7M1.F,0.872,D Tier
A1B.F,0.88,D Tier
AQE.F,0.96,SSS Tier
BC51.F,0.896,D Tier
BLZ.F,0.844,D Tier
EB9.F,0.792,D Tier
EW3.F,0.792,D Tier
FB20.F,0.768,D Tier
FB2A.F,0.768,D Tier
FEX.F,0.864,D Tier
FEX0.F,0.864,D Tier
FPE.F,0.812,D Tier
G03.F,0.944,SSS Tier
GEY.F,0.752,D Tier
HDJA.F,0.788,D Tier
HYB.F,0.92,SSS Tier
HYB0.F,0.92,SSS Tier
KU1.F,0.792,D Tier
MUD.F,0.752,D Tier
NM5.F,0.788,D Tier
NNA.F,0.868,D Tier
OHP.F,0.856,D Tier
OHP0.F,0.856,D Tier
PQX1.F,0.816,D Tier
PU7.F,0.772,D Tier
QPX.F,0.796,D Tier
S2Z.F,0.884,D Tier
S2Z0.F,0.884,D Tier
ST2.F,0.864,D Tier
TSFA.F,0.828,D Tier
USJ.F,0.948,B Tier
YIR.F,0.976,SSS Tier
